prueba,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
Backprop,0.6112413999999999,0.6075902,0.6061131999999999,0.6066214,0.6096482,0.6036338,0.6158838,0.6083181999999999,0.6121947999999999,0.606949
BFS,0.1001881999999999,0.0973462,0.099078,0.0997038,0.0988301999999999,0.0998479999999999,0.0995302,0.0991003999999999,0.0993244,0.0990891999999999
CFD,1.190174,1.189107,1.189953,1.190528,1.189834,1.190189,1.190034,1.189444,1.189534,1.187164
Gaussian,8.848065799999999,8.869576799999999,8.846789,8.8641294,8.845055799999999,8.836153199999998,8.830211599999998,8.860026,8.828938999999998,8.851502799999999
HeartWall,1.0232305999999998,1.0633028,1.0710685999999998,1.0621422,1.0359482,1.0611005999999998,1.060577,1.0403484,1.0595059999999998,1.0381657999999998
HotSpot,0.0273252,0.0256045999999999,0.0255962,0.0255724,0.0253736,0.0254393999999999,0.0253092,0.0257641999999999,0.0254982,0.0254813999999999
LavaMD,3.456159,3.455432,3.45537,3.454947,3.455208,3.454758,3.455335,3.454333,3.454065,3.455775
LU,0.0649124,0.0634465999999999,0.0635165999999999,0.0631526,0.063042,0.0636454,0.0638078,0.0636678,0.0633542,0.0621529999999999
Myocyte,0.3293374,0.3304448,0.3279696,0.3361903999999999,0.3292799999999999,0.3348435999999999,0.3379417999999999,0.3240454,0.3265247999999999,0.3329017999999999
NN,0.0065407999999999,0.0055762,0.0058785999999999,0.0054277999999999,0.0055524,0.0053116,0.0053802,0.0055677999999999,0.0058856,0.0056083999999999
NW,0.1343594,0.1329216,0.1326192,0.1326149999999999,0.1332198,0.1330307999999999,0.1323377999999999,0.1306956,0.1318226,0.1325296
SRAD_V1,1.291704,1.293575,1.305687,1.318002,1.298149,1.280825,1.298352,1.301563,1.30382,1.298131
SRAD_v2,0.2046212,0.2047752,0.2044713999999999,0.2042585999999999,0.2046212,0.2045344,0.2040164,0.2038008,0.2040612,0.2041592
StreamCluster,1.106855,1.109224,1.114923,1.110577,1.107591,1.118013,1.115815,1.112486,1.112146,1.110261
ParticleFilter,5.725637,5.721151,5.728718,5.716345,5.726314,5.732139,5.737497,5.721249,5.721762,5.724061
PathFinder,0.007251999999999999,0.0057442,0.005795999999999999,0.0057442,0.0058281999999999995,0.0057063999999999995,0.005621,0.005481,0.0053186,0.005907999999999999
